,Config,Circ Min,Circ Max
Chart Title,Quick Circle Stats,9.94,10.14
X-axis,Circ Min,9.97,10.15
Y-axis 1,Circ Max,9.92,10.12
Y-axis 2,,9.92,10.09
Y-axis 3,,9.96,10.19
Y-axis 4,,9.84,10.07
UCL,,9.94,10.03
LCL,,9.91,10.06
X label,Circle Min,9.91,10.10
Y label,Circle Max,9.97,10.08
,,9.63,10.40
,,9.95,10.13
,,9.84,10.10
,,9.83,10.02
,,9.81,10.13
,,9.88,10.06
,,9.88,10.06
,,9.84,9.97
,,9.85,10.07
,,9.83,9.99
,,9.84,10.01
,,9.84,9.97
,,9.80,10.05
,,9.85,9.98
,,9.82,10.04
,,9.81,9.95
,,9.81,9.97
,,9.83,10.00
,,9.77,9.91
,,9.87,10.00
,,9.84,9.92
,,9.84,10.01
,,9.78,9.97
,,9.82,10.06
,,9.83,10.03
,,9.83,9.92
,,9.83,9.95
,,9.81,10.06
,,9.87,10.05
,,9.89,10.00
,,9.85,10.02
,,9.79,10.07
,,9.84,9.94
,,9.86,9.94
,,9.85,10.03
,,9.78,9.98
,,9.85,9.97
,,9.86,10.07
,,9.83,10.01
,,9.86,9.96
,,9.73,10.12
,,9.85,10.10
,,9.89,10.06
,,9.87,10.06
,,9.84,9.96
,,9.72,10.09
,,9.85,10.02
,,9.80,10.04
,,9.89,10.16
,,9.78,9.97
,,9.87,10.03
,,9.80,9.98
,,9.85,10.03
,,9.84,10.03
,,9.65,10.15
,,9.85,9.95
,,9.82,10.04
,,9.50,10.26
,,9.70,10.16
,,9.66,10.23
,,9.84,9.99
,,9.71,10.13
,,9.93,10.05
,,9.86,10.07
,,9.86,9.99
,,9.84,9.97
,,9.91,9.99
,,9.88,9.97
,,9.55,10.21
,,9.82,10.04
,,9.70,10.20
,,9.77,10.10
,,9.84,9.98
,,9.87,10.11
,,9.73,10.12
,,9.66,10.02
,,9.73,10.18
,,9.63,10.04
,,9.89,10.06
,,9.81,10.01
,,9.90,10.12
,,9.69,10.20
,,9.89,10.11
,,9.84,10.11
,,9.79,10.04
,,9.84,10.05
,,9.83,10.02
,,9.74,10.09
,,9.89,10.09
,,9.90,10.04
,,9.80,10.04
,,9.78,10.18
,,9.79,10.01
,,9.92,10.07
,,9.90,10.03
,,9.75,10.12
,,9.89,10.02
,,9.88,10.04
,,9.77,10.10
,,9.87,9.94
,,9.77,10.16
,,9.74,10.08
,,9.88,10.08
,,9.86,10.08
,,9.66,10.17
,,9.91,10.02
,,9.73,10.09
,,9.86,10.09
,,9.72,10.13
,,9.72,10.13
,,9.75,10.08
,,9.87,10.02
,,9.88,10.01
,,9.79,10.17
,,9.89,10.07
,,9.79,10.06
,,9.85,9.96
,,9.87,10.05
,,9.90,10.13
,,9.65,10.24
,,9.71,10.16
,,9.83,10.05
,,9.88,10.02
,,9.87,10.02
,,9.91,10.10
,,9.92,10.05
,,9.92,10.01
