,Config,X Deviation,Y Deviation,Z Deviation,bins,UCL,LCL
Chart Title,Quick Circle Deviation,0.34,0.390000000000001,0.01,1,0.2,-0.2
X-axis,,0.289999999999999,0.210000000000001,-0.11,0.99,,
Y-axis 1,X Deviation,0.460000000000001,0.449999999999999,-0.16,0.98,,
Y-axis 2,Y Deviation,0.140000000000001,0.039999999999999,-0.13,0.97,,
Y-axis 3,Z Deviation,0.18,0.07,-0.01,0.96,,
Y-axis 4,,0.58,0.48,-0.04,0.95,,
UCL,UCL,0.27,0.130000000000001,0.08,0.94,,
LCL,LCL,0.42,0.359999999999999,-0.02,0.93,,
X label,Index,0.17,0.15,0.07,0.92,,
Y label,Deviation (mm),0.33,0.33,0,0.91,,
Histogram Column,bins,0.09,0.060000000000001,0.14,0.9,,
,,0.279999999999999,0.119999999999999,0.05,0.89,,
,,0.16,0.09,0.01,0.88,,
,,0.199999999999999,0.15,0,0.87,,
,,0.279999999999999,0.15,0.06,0.86,,
,,0.449999999999999,0.44,-0.04,0.85,,
,,0.17,0.220000000000001,0,0.84,,
,,0.41,0.41,0.08,0.83,,
,,0.31,0.18,-0.02,0.82,,
,,0.210000000000001,0.130000000000001,-0.03,0.81,,
,,0.26,0.130000000000001,0.05,0.8,,
,,0.43,0.390000000000001,-0.08,0.79,,
,,0.18,0.140000000000001,-0.09,0.78,,
,,0.380000000000001,0.25,0.03,0.77,,
,,0.24,0.24,-0.05,0.76,,
,,0.27,0.220000000000001,-0.04,0.75,,
,,0.109999999999999,0.15,-0.05,0.74,,
,,0.19,0.16,-0.02,0.73,,
,,0.470000000000001,0.49,-0.13,0.72,,
,,0.25,0.130000000000001,-0.17,0.71,,
,,0.16,0.17,0.08,0.7,,
,,0.789999999999999,0.75,-0.17,0.69,,
,,0.17,0.01,-0.03,0.68,,
,,0.59,0.539999999999999,-0.06,0.67,,
,,0.560000000000001,0.609999999999999,-0.13,0.66,,
,,0.33,0.359999999999999,0.03,0.65,,
,,0.140000000000001,0.029999999999999,0.07,0.64,,
,,0.140000000000001,0.19,0,0.63,,
,,0.34,0.199999999999999,0.02,0.62,,
,,0.59,0.609999999999999,-0.1,0.61,,
,,0.43,0.539999999999999,-0.05,0.6,,
,,0.51,0.48,0,0.59,,
,,0.35,0.210000000000001,0.02,0.58,,
,,0.32,0.24,0.09,0.57,,
,,0.220000000000001,0.17,0.1,0.56,,
,,0.119999999999999,0.039999999999999,0.01,0.55,,
,,0.279999999999999,0.210000000000001,-0.02,0.54,,
,,0.18,0.119999999999999,0.07,0.53,,
,,0.119999999999999,0.01,0.07,0.52,,
,,0.789999999999999,0.699999999999999,-0.07,0.51,,
,,0.23,0.07,-0.06,0.5,,
,,0.19,0.050000000000001,0.04,0.49,,
,,0.17,-0.01,-0.06,0.48,,
,,0.130000000000001,0.07,0,0.47,,
,,0.529999999999999,0.49,0.05,0.46,,
,,0.15,0.07,0.07,0.45,,
,,-0.119999999999999,0.08,0.04,0.44,,
,,0.109999999999999,0.08,-0.01,0.43,,
,,0.380000000000001,0.24,0.01,0.42,,
,,0.289999999999999,0.199999999999999,0.06,0.41,,
